Date,Open,High,Low,Close,Adj Close,Volume
5/11/1987,18.957008,19.258512,18.881634,19.032385,11.756638,2686800
5/12/1987,18.76857,18.806257,18.354002,18.504755,11.430716,1308400
5/13/1987,18.391691,18.58013,18.165564,18.467066,11.407432,1160100
5/14/1987,18.617819,18.655506,17.977123,18.090187,11.174628,1961100
5/15/1987,18.014812,18.165564,17.411806,17.750996,10.96511,2735200
5/18/1987,17.034927,17.33643,16.658047,16.921864,10.452933,3184300
5/19/1987,16.997238,17.034927,16.017353,16.243481,10.033882,2553100
5/20/1987,16.205793,16.431921,15.866602,16.09273,9.940763,2454300
5/21/1987,16.281168,16.582672,16.017353,16.507296,10.196847,1735900
5/22/1987,16.507296,16.658047,16.281168,16.318857,10.080444,907100
5/26/1987,16.884174,17.261053,16.620359,17.147991,10.592617,1985300
5/27/1987,17.072615,17.223366,16.997238,17.110302,10.569336,1468600
5/28/1987,17.110302,17.110302,16.507296,16.771111,10.359811,1514700
5/29/1987,16.8088,17.147991,16.733423,17.110302,10.569336,1637100
6/1/1987,17.223366,17.223366,16.507296,16.544985,10.220129,1216200
6/2/1987,16.394232,16.469608,15.753538,15.828914,9.777803,2738200
6/3/1987,16.017353,16.205793,15.828914,15.941978,9.847642,2148800
6/4/1987,15.941978,16.243481,15.828914,15.979666,9.870923,2017500
6/5/1987,15.866602,15.941978,15.489723,15.753538,9.731241,1889100
6/8/1987,15.527411,16.205793,15.527411,16.168104,9.98732,1776700
6/9/1987,16.695736,16.733423,16.318857,16.507296,10.196847,5008200
6/10/1987,16.582672,16.733423,16.281168,16.431921,10.15029,2818500
6/11/1987,16.582672,16.658047,16.356544,16.431921,10.15029,858300
6/12/1987,16.582672,16.884174,16.507296,16.582672,10.243412,1870600
6/15/1987,16.544985,16.733423,16.507296,16.544985,10.319445,1339900
6/16/1987,16.431921,16.8088,16.281168,16.8088,10.483993,2419500
6/17/1987,16.884174,17.185678,16.733423,17.072615,10.648536,1490500
6/18/1987,17.034927,17.261053,16.921864,17.034927,10.625036,1374100
6/19/1987,16.884174,17.034927,16.582672,16.582672,10.342957,1445000
6/22/1987,16.959551,17.034927,16.733423,16.771111,10.460491,1904400
6/23/1987,16.846487,16.884174,16.469608,16.582672,10.342957,1083200
6/24/1987,16.582672,17.072615,16.582672,16.921864,10.554519,1400200
6/25/1987,16.997238,17.185678,16.884174,16.921864,10.554519,1526600
6/26/1987,16.884174,16.959551,16.469608,16.695736,10.413477,1755800
6/29/1987,16.658047,16.733423,16.507296,16.582672,10.342957,490100
6/30/1987,16.658047,16.8088,16.281168,16.318857,10.178406,1267900
7/1/1987,16.281168,16.281168,16.017353,16.130417,10.060872,1395300
7/2/1987,16.356544,16.431921,16.168104,16.205793,10.107888,1453300
7/6/1987,16.281168,16.281168,15.753538,15.753538,9.825809,2550500
7/7/1987,15.753538,15.941978,15.527411,15.602787,9.731781,1828400
7/8/1987,15.678163,16.130417,15.075156,16.017353,9.990353,3146800
7/9/1987,15.979666,16.356544,15.828914,16.09273,10.037365,1526300
7/10/1987,16.205793,16.243481,15.678163,15.828914,9.872819,1956500
7/13/1987,15.90429,16.431921,15.753538,16.431921,10.24893,960100
7/14/1987,16.620359,16.959551,16.620359,16.921864,10.554519,4643300
7/15/1987,16.959551,17.449493,16.884174,17.298742,10.789582,3449300
7/16/1987,17.411806,17.562557,17.298742,17.487181,10.907119,2124300
7/17/1987,17.637934,17.675621,17.261053,17.487181,10.907119,2188600
7/20/1987,17.185678,17.374117,16.959551,16.959551,10.578024,1667600
7/21/1987,16.771111,16.921864,16.544985,16.582672,10.342957,2378400
7/22/1987,16.771111,16.771111,16.431921,16.620359,10.366464,997900
7/23/1987,16.733423,16.846487,16.544985,16.733423,10.436982,1746200
7/24/1987,16.733423,17.110302,16.733423,17.072615,10.648536,894100
7/27/1987,16.959551,17.110302,16.846487,16.997238,10.601534,553200
7/28/1987,17.147991,17.147991,16.959551,17.072615,10.648536,1243400
7/29/1987,17.185678,17.298742,17.072615,17.110302,10.672048,2525600
7/30/1987,17.034927,17.487181,16.997238,17.449493,10.883604,2372000
7/31/1987,17.449493,17.675621,17.374117,17.675621,11.024654,1931900
8/3/1987,17.185678,17.637934,17.185678,17.298742,10.789582,1602600
8/4/1987,17.223366,17.449493,17.147991,17.411806,10.860106,1241400
8/5/1987,17.52487,17.864059,17.487181,17.675621,11.024654,2423500
8/6/1987,17.826372,18.467066,17.750996,18.316315,11.424272,2628400
8/7/1987,18.655506,18.76857,18.542442,18.655506,11.635826,3416200
8/10/1987,18.693193,18.919321,18.617819,18.919321,11.800372,1951800
8/11/1987,19.220823,19.748455,19.145449,19.597704,12.223496,5704700
8/12/1987,19.597704,19.710768,19.333887,19.48464,12.15297,2650700
8/13/1987,19.48464,19.899206,19.48464,19.786142,12.341031,2337600
